xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Reference: Gushchin, E.M., Kruglov, A.A., Obodovskii, I.M., 1982. Electron dynamics in condensed argon and xenon. Soviet Journal of Experimental and Theoretical Physics 55, 650.
DOI: 
URL: https://ui.adsabs.harvard.edu/abs/1982JETP...55..650G/abstract
COMMENTS: Use standard algebra to define units, insite ASCII symbols rather than latex (μs rather than \mu s)
COMMENTS: Use NaN for missing values
COMMENTS: Columns can be either x | y, x | y | y_error, x | x_error | y | y_error
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

SPECIES: e / Xe
Density: NaN
Pressure: NaN
Temperature: 165 K
Phase: Liquid
Field: NaN
PROCESS: Drift Velocity (cm/s)
COMMENTS: Insert comments as needed
COMMENTS: 1 line per point
COLUMNS: Electric field (V/cm) | Drift Velocity (cm/s)
-----------------------------
38.38555377062721, 22238.310596542768
40.757244651792, 24004.39611356523
44.62928663624712, 25960.848073048608
47.452362563090624, 27252.058826927125
50.19611585215179, 30091.626700545083
54.67571945453111, 31837.84397691345
58.62445137087222, 35059.83175600039
63.31547417362021, 36397.513219020286
67.9242150196858, 40031.48849861828
73.65768461842997, 42409.399034240334
77.97422242150536, 46481.933077777256
85.10070778488355, 49076.81564871755
89.73801746963616, 51748.12492683219
96.30347804713531, 56643.26074916486
105.12402120343629, 61321.263706107624
113.03331333130609, 65897.82789299845
120.85447856992853, 68946.07654759334
128.58265952398116, 74350.68131270896
137.75809554584166, 79153.99361516698
147.34092801316086, 84825.84799567539
158.84307205583036, 89278.87264749297
170.0607118326705, 97451.46892437933
184.52697277840244, 107015.004135011
200.90414667651496, 113518.90252057246
220.26543043104326, 122180.5352457957
239.9966233922199, 130383.57245905789
259.276929188735, 132419.27918860453
281.85428299294415, 143493.12699846685
309.3548321698979, 151619.23870320132
337.82629133252306, 154709.18026745282
368.15156748427387, 164393.7605034487
405.434712222847, 171739.09590208
446.95666692462765, 180683.03329373774
488.3702391169659, 181367.72685847437
537.1485045461264, 191950.1721230008
605.0717607450548, 198101.67211302268
664.3873102756077, 206490.50327330374
733.7063941700691, 207554.66002423794
818.2582205786223, 223992.87276545458
912.2986554167151, 228749.90082064483
985.6324509213247, 241067.00183015582
1090.487113125211, 240680.35523884642
1192.7473608025084, 257932.57098826562
1318.9937366742454, 257792.31988670674
1465.8405277087754, 277649.05566757754
1620.9259252350776, 275628.09837469336
1757.9357355223542, 291772.5041954432
1947.9449014168988, 300874.9596521557
2111.4981183622663, 305690.3642099644
2328.731511962226, 321562.2164120729
2586.1927613604876, 334159.0948356538
2880.140888908171, 342896.4648236324
3138.7066941895982, 357742.7066356365
3512.7541625864555, 365494.3639098768
3796.0863133169255, 385121.24409972265
4282.66742062771, 407414.46584025363
4756.266731917712, 410881.73658384
5144.4355471957215, 432133.95608701353
5672.893794604308, 437766.2540327241
6123.541578283932, 457494.4916008002
6657.738008241089, 462171.3410495458
7302.785577984333, 484414.55999112735
8130.142704659007, 501450.2816143273
